"tick","calculateAverageWaitTime","averageSumOfCarsThatCrossCrossing","calculateAmountOfStoppedCars","calculateAverageCarsSpeed"
332.0,68.18,6.0391566265,7,0.39637951807219607
333.0,68.3,6.0630630631,6,0.3963843843842905
334.0,68.44,6.0838323353,7,0.39638922155679157
335.0,68.56,6.0716417910,6,0.3963940298506508
336.0,68.68,6.0654761905,6,0.3963988095237133
337.0,68.84,6.0682492582,8,0.39640356083076356
338.0,69.06,6.0680473373,11,0.3964082840235709
339.0,69.26,6.0619469027,10,0.396412979350934
340.0,69.4,6.0588235294,7,0.3964176470587243
341.0,69.54,6.0586510264,7,0.39642228738992935
342.0,69.72,6.0614035088,9,0.3964269005846946
343.0,69.94,6.0670553936,11,0.39643148688036506
344.0,70.14,6.0726744186,10,0.39643604651152575
345.0,70.36,6.0666666667,11,0.39644057971004204
346.0,70.56,6.0578034682,10,0.3964450867050987
347.0,70.82,6.0461095101,13,0.3964495677232386
348.0,71.08,6.0402298851,13,0.3964540229884007
349.0,71.36,6.0429799427,14,0.3964584527219573
350.0,71.58,6.0485714286,11,0.3964628571427507
351.0,71.8,6.0455840456,11,0.3964672364671293
352.0,71.98,6.0568181818,9,0.39647159090898304
353.0,72.18,6.0708215297,10,0.3964759206797781
354.0,72.38,6.0819209040,10,0.39648022598859134
355.0,72.58,6.0760563380,10,0.3964845070421436
356.0,72.82,6.0674157303,12,0.3964887640448332
357.0,73.1,6.0644257703,14,0.39649299719876824
358.0,73.38,6.0558659218,14,0.3964972067037986
359.0,73.68,6.0445682451,15,0.39650139275754753
360.0,73.82,6.0416666667,7,0.39650555555544226
361.0,73.96,6.0415512465,7,0.39650969529074476
362.0,74.08,6.0469613260,6,0.3965138121545815
363.0,74.16,6.0661157025,4,0.39651790633597284
364.0,74.22,6.0824175824,3,0.39652197802186206
365.0,74.32,6.0712328767,5,0.39652602739714365
366.0,74.42,6.0655737705,5,0.3965300546446915
367.0,74.62,6.0626702997,10,0.3965340599453862
368.0,74.88,6.0597826087,13,0.39653804347814237
369.0,75.14,6.0569105691,13,0.39654200541993506
370.0,75.38,6.0486486486,12,0.39654594594582615
371.0,75.62,6.0377358491,12,0.3965498652289901
372.0,75.84,6.0376344086,11,0.39655376344073917
373.0,76.08,6.0482573727,12,0.39655764075054856
374.0,76.32,6.0588235294,12,0.3965614973260809
375.0,76.66,6.0453333333,17,0.3965653333332104
376.0,76.98,6.0319148936,16,0.3965691489360467
377.0,77.36,6.0212201592,19,0.3965729442969581
378.0,77.86,6.0105820106,25,0.39657671957659485
379.0,78.36,6.0026385224,25,0.39658047493391163
380.0,78.54,6,9,0.3965763157893477
381.0,78.72,6,9,0.3965721784775637
382.0,78.86,6.0183246073,7,0.3965759162302393
383.0,79.02,6.0469973890,8,0.3965796344646242
384.0,79.16,6.0755208333,7,0.396583333333205
385.0,79.26,6.0701298701,5,0.39658701298688404
386.0,79.36,6.0673575130,5,0.39659067357500005
387.0,79.52,6.0645994832,8,0.39659431524534794
388.0,79.7,6.0618556701,9,0.39659793814419925
389.0,79.92,6.0591259640,11,0.39660154241632123
390.0,80.06,6.0564102564,7,0.3966051282049964
391.0,80.2,6.0485933504,7,0.39660869565204154
392.0,80.32,6.0535714286,6,0.39661224489782626
393.0,80.4,6.0610687023,4,0.39661577608129145
394.0,80.52,6.0736040609,6,0.3966192893399675
395.0,80.72,6.0632911392,10,0.39662278480999197
396.0,80.96,6.0505050505,12,0.3966262626261275
397.0,81.32,6.0352644836,18,0.39662972292177867
398.0,81.7,6.0251256281,19,0.3966331658290095
399.0,82.1,6.0175438596,20,0.39663659147855995
400.0,82.38,6.0225,14,0.39663999999986266
